问题,题意要求,来源定位,实现与证据,边界说明
共同,原始坐标、需求、装备以附件为准,题面2页,data/raw；results/audit/source_cell_trace.csv,没有覆盖题定值
共同,质量、体积、时间、能量单位统一,题面5页,data/cleaned/data_dictionary.csv,质量kg、体积m³、时间s、能量kWh
共同,水平直线；全部穿越DEM像元最高值加50米,附录2,results/q2/all_arc_independent_check.csv,全像元几何；不是均匀抽样代替峰值
共同,O01地面；服务区30米作业；每段重新爬升,附录2,results/q3/independent_transport_energy.csv,去程与返程分段载荷
共同,货箱不可拆；每箱恰好交付一次,问题1—4,results/q3/independent_box_checks.csv,逐箱身份守恒
共同,额定质量、总体积和返航余量同时满足,问题1—4,results/q3/independent_transport_checks.csv,无箱长宽高，未声称三维装箱
共同,下降附加能耗为0,附录2,src/physics.py；src/q2_physics.py,下降仍计飞行时间
共同,水平能耗和爬升能耗分项模型闭合,附录2未展开分项,src/physics.py,补充假设，不冒充唯一题定公式
Q1,15服务区×3机型连续最大安全载荷,问题1首段,results/q1/max_safe_payload.csv,加现有整箱可实现载荷对照
Q1,O01—单一区域—O01；不跨区组批,问题1,results/q1/validation_checks.csv,不强加后续实体/通信排程
Q1,多指标优先关系明示,问题1-2,results/q1/objective_comparison.csv,主N→E→累计作业时间，非三指标同时最小
Q1,安全余量敏感性,问题1-3,results/q1/reserve_sensitivity.csv,主实验不低于附件20%，不可行值不补0
Q1,精确最少架次与DP证明,问题1,results/q1/independent_optimality.csv,适用于明示物理口径
Q2,多点访问、卸货后剩余载荷更新,问题2,results/q2/legs.csv,每段计质量，不把全部路程都按起飞质量
Q2,无人机机身与同型共享电池分别排程,问题2,results/q2/resource_interval_checks.csv,库存含初装与备用，不额外扩充
Q2,医疗期望时限和首批截止是硬约束,问题2,results/q2/independent_box_recalculation.csv,其他物资期望时间为软评价
Q2,返回后的两阶段充电至100%再复用,附录2,results/q2/battery_cycles.csv,不同电池并行充电；未虚设充电桩瓶颈
Q2,全部任务时间取最后运输返回,问题2-1,results/q2/summary.json,不取最后一箱送达或充满电时刻
Q2,不考虑通信约束,问题2首句,results/q3/q2_direct_only_audit.json,Q2通信有缺口不构成Q2违法
Q3,爬升、巡航、下降、交接全过程连续通信,问题3,results/q3/independent_continuous_certificate.csv,区间与孤立点检查，稠密采样仅交叉验证
Q3,直连优先；单架中继；接入/回传同刻可用,附录3,results/q3/Q3_通信保障.csv,没有多跳中继或同刻多提供者
Q3,收发双向取更严格预算,附录3,results/q3/radio_bidirectional_budgets.csv,灵敏度加衰落裕量，不忽略地形附加损耗
Q3,悬停点在DEM内，离地高度不超上限,问题3,results/q3/independent_relay_checks.csv,有限候选搜索，不声称连续空间全局最优
Q3,中继准备、建链、周转、服务及充电,附录2,results/q3/relay_sorties.csv,含建链悬停能耗，服务结束再返回
Q3,联合完工取运输/中继最晚返回,问题3-1,results/q3/summary.json,独立核验最后中继返回，非充电结束
Q3,最终方案在源库存内可执行,问题3,results/q3/independent_resources.csv,与Q4增补配置明确区分
Q3→Q4,在Q3定稿前筛选严格三组可分区候选,四问联合继承,results/q3/closure_existing_candidates.csv,增加下游可分区选择准则并公开代价
Q4,15服务区各一次，2/3组都非空,问题4,results/q4/independent_partition_certificate.csv,运输和共同中继依赖联合并查集
Q4,保持货箱、访问序、时刻、中继任务和通信关系,问题4,results/q4/K3/independent_inheritance_resource_checks.csv,严格不复制/不拆分/不缩短中继任务
Q4,资源执行期间不跨组调配,问题4,results/q4/K3/resource_allocations.csv,仅在开始前重新指派同型资源
Q4,资源规模、冗余、均衡、库存缺口比较,问题4-1,results/q4/selected_comparison.csv,不同类型库存不能相互抵扣
Q4,资源不足报告缺口，不伪称原库存可行,问题4-2,results/q4/inventory_gap.csv,需求配置补足后物理可行
提交,原模板表名/表头/单位，Q3配套不覆盖Q2,四、提交要求,submission/提交验收.json,模板没有Q3运输表则另附配套
提交,CSV→Excel精确浮点往返及实际表格物理检查,四、提交要求,src/submission.py,防止16有效位序列化造成通信边界误判
论文,中文图与数值可追溯、假设及范围明示,四、提交要求,paper/figure_catalog.csv,重复视图不谎称独立实验次数
