图号,中文图题,PDF,PNG,SVG,数据源,绘图数据,解释,PDF_SHA256,本论文选用,Overleaf路径
F001,第一问：调度中心与单点往返航线,figures/F001.pdf,figures/F001.png,figures/F001.svg,data/cleaned/geospatial/dem_clean.tif;data/cleaned/model_inputs.json;results/q1/route_geometry.csv,plot_data/F001.json,当前主方案的诊断视图；不另算一次独立实验,37dca23eebc46e3c4b3a9fb58f76b9d519ff4510696c4cca117f040546cab4be,否,figures/F001.pdf
F002,原始全分辨率地形与任务节点,figures/F002.pdf,figures/F002.png,figures/F002.svg,data/cleaned/geospatial/dem_clean.tif;data/cleaned/model_inputs.json,plot_data/F002.json,当前主方案的诊断视图；不另算一次独立实验,b8659d0fcd4170a44725f3c78e7d5b72399e8fe7249cfdda9dd9b3cccbc329e8,是,figures/F002.pdf
F003,第一问：各机型连续最大安全载荷,figures/F003.pdf,figures/F003.png,figures/F003.svg,results/q1/max_safe_payload_matrix.csv,plot_data/F003.json,当前主方案的诊断视图；不另算一次独立实验,b090350d3261ca2f6c94e3f225397c9b8efcd48ce2f1095344f5ece44470c24d,否,figures/F003.pdf
F004,第一问：各服务区最少往返架次数,figures/F004.pdf,figures/F004.png,figures/F004.svg,results/q1/service_summary.csv,plot_data/F004.json,当前主方案的诊断视图；柱高由源表聚合,1cd5b87307d4e81a7b33a7f7c7c2d85840e28f3948b4e0af9fd0b95d35f226ec,否,figures/F004.pdf
F005,第一问：逐架次往返能耗分解,figures/F005.pdf,figures/F005.png,figures/F005.svg,results/q1/batches_NET.csv,plot_data/F005.json,当前主方案的诊断视图；不另算一次独立实验,f9cde48a06cbecf889c0c666aec28a642eac1c64b6384b86aad5027da6f02b0e,否,figures/F005.pdf
F006,第一问：每一架次返航电量核验,figures/F006.pdf,figures/F006.png,figures/F006.svg,results/q1/batches_NET.csv,plot_data/F006.json,当前主方案的诊断视图；不另算一次独立实验,fb16424e0312df196d28741340f3795cfb45618a1137ee44d7e3b9c6f82d6db6,否,figures/F006.pdf
F007,第一问：安全余量下的架次数与可行边界,figures/F007.pdf,figures/F007.png,figures/F007.svg,results/q1/reserve_sensitivity.csv;results/q1/summary.json,plot_data/F007.json,各档重新优化；主图仅绘制可行档的整数架次数；状态带显示解析可行边界，不可行档不记为0；上图仅绘制离散重优化档位，不对档位之间作线性插值；下方状态带给出解析可行边界。,0014056d50d7cedfcecd43cce63fed4fba284f5ff532d65bac5e241a5f6e5d81,是,figures/F007.pdf
F008,第一问：提高返航余量后的总能耗,figures/F008.pdf,figures/F008.png,figures/F008.svg,results/q1/reserve_sensitivity.csv,plot_data/F008.json,各档重新优化；仅绘制全箱可交付档，不可行档详见源表，不能视为0,446031e3577e32bf71e140921e13dec9989bd51224bdce35e65ece2b93a8a3da,否,figures/F008.pdf
F009,第一问：S008安全载荷对余量要求的响应,figures/F009.pdf,figures/F009.png,figures/F009.svg,results/q1/capacity_sensitivity.csv,plot_data/F009.json,当前主方案的诊断视图；不另算一次独立实验,99bcb2aec05adb8fda310c07ca842f1d0cdda94076ba2ead2f318788d39bf42b,否,figures/F009.pdf
F010,第一问：整数架次数下的最小能耗权衡,figures/F010.pdf,figures/F010.png,figures/F010.svg,results/q1/flight_energy_frontier.csv,plot_data/F010.json,包含18至80架次的全部整数精确解；主轴放大18至25架次；只有18和19架次是本数据二维非支配点，非三目标全部帕累托前沿；主轴显示18–25架次，右侧保留18–80架次全部整数解，不删除被支配点。,ed9501ff690be6e7c9b0f33d709cc88b3ba1cf5ce57a1c837f5ab983bd586ffd,是,figures/F010.pdf
